positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
1,6,6,0.01111
1,10,10,0.01111
5,15,15,0.05556
6,21,21,0.06667
7,28,28,0.07778
12,36,36,0.13333
16,45,45,0.17778
21,55,55,0.23333
27,66,66,0.30000
31,79,79,0.34444
42,94,94,0.46667
51,111,111,0.56667
56,130,130,0.62222
61,151,151,0.67778
66,175,175,0.73333
68,202,202,0.75556
74,232,232,0.82222
79,265,262,0.87778
82,302,292,0.91111
84,343,322,0.93333
86,389,352,0.95556
86,440,382,0.95556
88,497,412,0.97778
88,560,442,0.97778
89,630,472,0.98889
89,707,502,0.98889
90,792,532,1.00000
90,886,562,1.00000
90,990,592,1.00000
90,1105,622,1.00000
90,1232,652,1.00000
90,1372,682,1.00000
90,1526,712,1.00000
90,1696,742,1.00000
90,1883,772,1.00000
90,2089,802,1.00000
90,2316,832,1.00000
90,2566,862,1.00000
90,2841,892,1.00000
90,3144,922,1.00000
90,3478,952,1.00000
90,3846,982,1.00000
90,4251,1012,1.00000
90,4697,1042,1.00000
90,5188,1072,1.00000
90,5729,1102,1.00000
90,6325,1132,1.00000
90,6981,1162,1.00000
90,7703,1192,1.00000
90,8498,1222,1.00000
90,9373,1252,1.00000
90,10336,1282,1.00000
90,11396,1312,1.00000
90,12562,1342,1.00000
90,13845,1372,1.00000
90,15257,1402,1.00000
90,16811,1432,1.00000
90,18521,1462,1.00000
90,20402,1492,1.00000
90,22472,1522,1.00000
90,24749,1552,1.00000
90,27254,1582,1.00000
90,30010,1612,1.00000
90,33042,1642,1.00000
90,36378,1672,1.00000
90,40048,1702,1.00000
90,44085,1732,1.00000
90,48526,1762,1.00000
90,53412,1792,1.00000
90,58787,1822,1.00000
90,64700,1852,1.00000
90,71205,1882,1.00000
90,78361,1912,1.00000
90,86233,1942,1.00000
90,94893,1972,1.00000
90,104419,2002,1.00000
90,114898,2032,1.00000
90,126425,2062,1.00000
