all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,0.00000,0.00000,0.00000,0.00000
3,3,0.90000,0.31623,0.02790,0.00993
6,6,1.20000,0.42164,0.03682,0.01270
10,10,1.90000,0.56765,0.05849,0.01809
15,15,2.30000,0.67495,0.07035,0.01949
21,21,2.60000,0.69921,0.07954,0.02037
28,28,3.00000,0.94281,0.09218,0.02925
36,36,3.90000,0.87560,0.11978,0.02724
45,45,4.60000,1.17379,0.14095,0.03499
55,55,6.00000,2.05480,0.18368,0.06130
66,66,7.10000,1.79196,0.21746,0.05274
79,79,8.40000,2.41293,0.25825,0.07646
94,94,10.00000,2.78887,0.30749,0.08742
111,111,12.60000,3.65756,0.38731,0.11377
130,130,15.00000,3.82971,0.46144,0.12065
151,151,17.10000,3.90014,0.52643,0.12498
175,175,19.90000,4.06749,0.61089,0.12174
202,202,23.10000,3.84274,0.70816,0.10713
232,232,26.70000,2.71006,0.81899,0.06802
265,262,28.60000,2.17051,0.87765,0.05243
302,292,30.10000,1.85293,0.92331,0.02576
343,322,31.00000,1.56347,0.95150,0.02834
389,352,31.30000,1.63639,0.96059,0.02780
440,382,31.60000,1.95505,0.96933,0.02823
497,412,31.90000,1.96921,0.97834,0.02046
560,442,31.90000,1.96921,0.97834,0.02046
630,472,32.20000,1.87380,0.98763,0.01604
707,502,32.20000,1.87380,0.98763,0.01604
792,532,32.20000,1.87380,0.98763,0.01604
886,562,32.20000,1.87380,0.98763,0.01604
990,592,32.20000,1.87380,0.98763,0.01604
1105,622,32.20000,1.87380,0.98763,0.01604
1232,652,32.20000,1.87380,0.98763,0.01604
1372,682,32.20000,1.87380,0.98763,0.01604
1526,712,32.20000,1.87380,0.98763,0.01604
1696,742,32.20000,1.87380,0.98763,0.01604
1883,772,32.30000,1.82878,0.99075,0.01496
2089,802,32.40000,1.57762,0.99420,0.01222
2316,832,32.50000,1.71594,0.99706,0.00930
2566,862,32.50000,1.71594,0.99706,0.00930
2841,892,32.50000,1.71594,0.99706,0.00930
3144,922,32.50000,1.71594,0.99706,0.00930
3478,952,32.50000,1.71594,0.99706,0.00930
3846,982,32.50000,1.71594,0.99706,0.00930
4251,1012,32.50000,1.71594,0.99706,0.00930
4697,1042,32.50000,1.71594,0.99706,0.00930
5188,1072,32.50000,1.71594,0.99706,0.00930
5729,1102,32.50000,1.71594,0.99706,0.00930
6325,1132,32.50000,1.71594,0.99706,0.00930
6981,1162,32.50000,1.71594,0.99706,0.00930
7703,1192,32.50000,1.71594,0.99706,0.00930
8498,1222,32.50000,1.71594,0.99706,0.00930
9373,1252,32.50000,1.71594,0.99706,0.00930
10336,1282,32.50000,1.71594,0.99706,0.00930
11396,1312,32.50000,1.71594,0.99706,0.00930
12562,1342,32.50000,1.71594,0.99706,0.00930
13845,1372,32.50000,1.71594,0.99706,0.00930
15257,1402,32.50000,1.71594,0.99706,0.00930
16811,1432,32.50000,1.71594,0.99706,0.00930
18521,1462,32.50000,1.71594,0.99706,0.00930
20402,1492,32.50000,1.71594,0.99706,0.00930
22472,1522,32.50000,1.71594,0.99706,0.00930
24749,1552,32.50000,1.71594,0.99706,0.00930
27254,1582,32.50000,1.71594,0.99706,0.00930
30010,1612,32.50000,1.71594,0.99706,0.00930
33042,1642,32.50000,1.71594,0.99706,0.00930
36378,1672,32.50000,1.71594,0.99706,0.00930
40048,1702,32.50000,1.71594,0.99706,0.00930
44085,1732,32.60000,1.77639,1.00000,0.00000
48526,1762,32.60000,1.77639,1.00000,0.00000
53412,1792,32.60000,1.77639,1.00000,0.00000
58787,1822,32.60000,1.77639,1.00000,0.00000
64700,1852,32.60000,1.77639,1.00000,0.00000
71205,1882,32.60000,1.77639,1.00000,0.00000
78361,1912,32.60000,1.77639,1.00000,0.00000
86233,1942,32.60000,1.77639,1.00000,0.00000
94893,1972,32.60000,1.77639,1.00000,0.00000
104419,2002,32.60000,1.77639,1.00000,0.00000
114898,2032,32.60000,1.77639,1.00000,0.00000
126425,2062,32.60000,1.77639,1.00000,0.00000
