positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
2,21,21,0.00837
4,28,28,0.01674
5,36,36,0.02092
7,45,45,0.02929
9,55,55,0.03766
10,66,66,0.04184
12,79,79,0.05021
13,94,94,0.05439
15,111,111,0.06276
19,130,130,0.07950
25,151,151,0.10460
35,175,175,0.14644
55,202,202,0.23013
71,232,232,0.29707
86,265,262,0.35983
103,302,292,0.43096
114,343,322,0.47699
123,389,352,0.51464
131,440,382,0.54812
141,497,412,0.58996
153,560,442,0.64017
166,630,472,0.69456
173,707,502,0.72385
182,792,532,0.76151
193,886,562,0.80753
202,990,592,0.84519
206,1105,622,0.86192
211,1232,652,0.88285
218,1372,682,0.91213
221,1526,712,0.92469
222,1696,742,0.92887
222,1883,772,0.92887
229,2089,802,0.95816
231,2316,832,0.96653
236,2566,862,0.98745
236,2841,892,0.98745
238,3144,922,0.99582
238,3478,952,0.99582
238,3846,982,0.99582
239,4251,1012,1.00000
239,4697,1042,1.00000
239,5188,1072,1.00000
239,5729,1102,1.00000
239,6325,1132,1.00000
239,6981,1162,1.00000
239,7703,1192,1.00000
239,8498,1222,1.00000
239,9373,1252,1.00000
239,10336,1282,1.00000
239,11396,1312,1.00000
239,12562,1342,1.00000
239,13845,1372,1.00000
239,15257,1402,1.00000
239,16811,1432,1.00000
239,18521,1462,1.00000
239,20402,1492,1.00000
239,22472,1522,1.00000
239,24749,1552,1.00000
239,27254,1582,1.00000
239,30010,1612,1.00000
239,33042,1642,1.00000
239,36378,1672,1.00000
239,40048,1702,1.00000
239,44085,1732,1.00000
239,48526,1762,1.00000
239,53412,1792,1.00000
239,58787,1822,1.00000
239,64700,1852,1.00000
239,71205,1882,1.00000
239,78361,1912,1.00000
239,86233,1942,1.00000
239,94893,1972,1.00000
239,104419,2002,1.00000
239,114898,2032,1.00000
239,126425,2062,1.00000
