all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,1.00000,0.00000,0.01323,0.00022
3,3,2.00000,0.00000,0.02646,0.00045
6,6,4.00000,0.47140,0.05292,0.00627
10,10,7.80000,0.42164,0.10323,0.00640
15,15,12.30000,0.48305,0.16275,0.00731
21,21,18.00000,0.47140,0.23816,0.00741
28,28,24.50000,0.70711,0.32418,0.01150
36,36,31.40000,1.07497,0.41551,0.01770
45,45,38.30000,0.82327,0.50670,0.01208
55,55,43.80000,1.54919,0.57956,0.02432
66,66,51.20000,2.04396,0.67748,0.03114
79,79,57.80000,1.61933,0.76492,0.03056
94,94,63.20000,1.68655,0.83623,0.02762
111,111,66.10000,1.85293,0.87470,0.03293
130,130,69.50000,0.52705,0.91960,0.02011
151,151,70.00000,0.66667,0.92616,0.01807
175,175,70.40000,0.51640,0.93146,0.01763
202,202,70.60000,0.51640,0.93408,0.01569
232,232,71.50000,1.26930,0.94592,0.01878
265,262,74.00000,1.49071,0.97889,0.01538
302,292,75.10000,0.99443,0.99347,0.00921
343,322,75.30000,1.05935,0.99610,0.00876
389,352,75.30000,1.05935,0.99610,0.00876
440,382,75.30000,1.05935,0.99610,0.00876
497,412,75.40000,1.07497,0.99740,0.00548
560,442,75.40000,1.07497,0.99740,0.00548
630,472,75.40000,1.07497,0.99740,0.00548
707,502,75.40000,1.07497,0.99740,0.00548
792,532,75.40000,1.07497,0.99740,0.00548
886,562,75.40000,1.07497,0.99740,0.00548
990,592,75.40000,1.07497,0.99740,0.00548
1105,622,75.40000,1.07497,0.99740,0.00548
1232,652,75.40000,1.07497,0.99740,0.00548
1372,682,75.40000,1.07497,0.99740,0.00548
1526,712,75.40000,1.07497,0.99740,0.00548
1696,742,75.40000,1.07497,0.99740,0.00548
1883,772,75.40000,1.07497,0.99740,0.00548
2089,802,75.40000,1.07497,0.99740,0.00548
2316,832,75.50000,1.17851,0.99870,0.00411
2566,862,75.50000,1.17851,0.99870,0.00411
2841,892,75.50000,1.17851,0.99870,0.00411
3144,922,75.60000,1.26491,1.00000,0.00000
3478,952,75.60000,1.26491,1.00000,0.00000
3846,982,75.60000,1.26491,1.00000,0.00000
4251,1012,75.60000,1.26491,1.00000,0.00000
4697,1042,75.60000,1.26491,1.00000,0.00000
5188,1072,75.60000,1.26491,1.00000,0.00000
5729,1102,75.60000,1.26491,1.00000,0.00000
6325,1132,75.60000,1.26491,1.00000,0.00000
6981,1162,75.60000,1.26491,1.00000,0.00000
7703,1192,75.60000,1.26491,1.00000,0.00000
8498,1222,75.60000,1.26491,1.00000,0.00000
9373,1252,75.60000,1.26491,1.00000,0.00000
10336,1282,75.60000,1.26491,1.00000,0.00000
11396,1312,75.60000,1.26491,1.00000,0.00000
12562,1342,75.60000,1.26491,1.00000,0.00000
13845,1372,75.60000,1.26491,1.00000,0.00000
15257,1402,75.60000,1.26491,1.00000,0.00000
16811,1432,75.60000,1.26491,1.00000,0.00000
18521,1462,75.60000,1.26491,1.00000,0.00000
20402,1492,75.60000,1.26491,1.00000,0.00000
22472,1522,75.60000,1.26491,1.00000,0.00000
24749,1552,75.60000,1.26491,1.00000,0.00000
27254,1582,75.60000,1.26491,1.00000,0.00000
30010,1612,75.60000,1.26491,1.00000,0.00000
33042,1642,75.60000,1.26491,1.00000,0.00000
36378,1672,75.60000,1.26491,1.00000,0.00000
40048,1702,75.60000,1.26491,1.00000,0.00000
44085,1732,75.60000,1.26491,1.00000,0.00000
48526,1762,75.60000,1.26491,1.00000,0.00000
53412,1792,75.60000,1.26491,1.00000,0.00000
58787,1822,75.60000,1.26491,1.00000,0.00000
64700,1852,75.60000,1.26491,1.00000,0.00000
71205,1882,75.60000,1.26491,1.00000,0.00000
78361,1912,75.60000,1.26491,1.00000,0.00000
86233,1942,75.60000,1.26491,1.00000,0.00000
94893,1972,75.60000,1.26491,1.00000,0.00000
104419,2002,75.60000,1.26491,1.00000,0.00000
114898,2032,75.60000,1.26491,1.00000,0.00000
126425,2062,75.60000,1.26491,1.00000,0.00000
